"","Natureza","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","delegacia_id"
"1325","TOTAL DE ESTUPRO (4)",3,0,0,1,2,0,0,0,0,1,0,0,7,987
"1326","ESTUPRO",2,0,0,1,1,0,0,0,0,0,0,0,4,987
"1327","ESTUPRO DE VULNERÁVEL",1,0,0,0,1,0,0,0,0,1,0,0,3,987
"1328","TOTAL DE ROUBO - OUTROS (1)",53,39,30,27,19,27,22,25,32,37,30,23,364,987
"1329","ROUBO - OUTROS",50,39,30,26,17,27,21,24,30,37,30,23,354,987
"1330","ROUBO DE VEÍCULO",6,5,6,3,6,4,9,9,9,7,8,6,78,987
"1331","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,987
"1332","ROUBO DE CARGA",3,0,0,1,2,0,1,1,2,0,0,0,10,987
"1333","FURTO - OUTROS",61,50,72,81,54,65,61,69,89,57,60,53,772,987
"1334","FURTO DE VEÍCULO",28,25,36,23,36,22,35,26,33,45,42,18,369,987
"1335","HOMICÍDIO DOLOSO (2)",1,0,0,0,0,0,1,0,0,0,0,0,2,986
"1336","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,0,0,0,0,0,1,0,0,0,0,0,2,986
"1337","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1338","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1339","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,1,0,0,0,0,1,986
"1340","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1341","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,1,0,0,0,0,0,1,986
"1342","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1343","LESÃO CORPORAL DOLOSA",17,18,11,13,12,14,13,13,11,23,8,12,165,986
"1344","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",3,2,5,6,12,6,1,7,5,5,6,6,64,986
"1345","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,1,0,1,0,0,0,1,0,3,986
"1346","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1347","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1348","TOTAL DE ESTUPRO (4)",0,0,1,0,1,1,3,1,3,1,0,1,12,986
"1349","ESTUPRO",0,0,0,0,0,0,1,0,1,0,0,0,2,986
"1350","ESTUPRO DE VULNERÁVEL",0,0,1,0,1,1,2,1,2,1,0,1,10,986
"1351","TOTAL DE ROUBO - OUTROS (1)",46,45,35,31,50,36,41,52,29,53,56,41,515,986
"1352","ROUBO - OUTROS",43,45,34,30,50,36,40,52,28,53,55,40,506,986
"1353","ROUBO DE VEÍCULO",4,20,7,8,10,6,7,5,6,11,10,13,107,986
"1354","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,986
"1355","ROUBO DE CARGA",3,0,1,1,0,0,1,0,1,0,1,1,9,986
"1356","FURTO - OUTROS",55,46,58,43,51,56,44,57,46,52,60,46,614,986
"1357","FURTO DE VEÍCULO",25,26,48,48,39,42,50,46,44,48,31,30,477,986
"1358","HOMICÍDIO DOLOSO (2)",2,0,1,1,0,1,1,0,0,0,0,0,6,985
"1359","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",2,0,1,1,0,1,1,0,0,0,0,0,6,985
"1360","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,1,0,0,0,0,0,0,0,0,1,985
"1361","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,1,0,0,0,0,0,0,0,0,1,985
"1362","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,1,0,0,0,0,1,0,2,985
"1363","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,985
"1364","TENTATIVA DE HOMICÍDIO",1,3,1,1,0,0,1,1,0,0,1,0,9,985
"1365","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,985
"1366","LESÃO CORPORAL DOLOSA",25,28,27,18,25,21,34,25,12,23,25,19,282,985
"1367","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",7,4,8,7,6,5,8,4,6,4,5,9,73,985
"1368","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,2,0,2,0,4,985
"1369","LATROCÍNIO",0,0,0,0,0,0,0,0,0,1,1,0,2,985
"1370","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,2,1,0,3,985
"1371","TOTAL DE ESTUPRO (4)",1,1,3,1,2,3,4,1,3,1,5,1,26,985
"1372","ESTUPRO",0,1,1,0,0,1,1,0,0,0,0,0,4,985
"1373","ESTUPRO DE VULNERÁVEL",1,0,2,1,2,2,3,1,3,1,5,1,22,985
"1374","TOTAL DE ROUBO - OUTROS (1)",98,78,103,94,104,105,114,160,118,105,121,102,1.302,985
"1375","ROUBO - OUTROS",96,77,102,92,103,104,113,158,115,104,118,101,1.283,985
"1376","ROUBO DE VEÍCULO",14,11,17,21,32,18,26,27,31,17,34,39,287,985
"1377","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,1,1,985
"1378","ROUBO DE CARGA",2,1,1,2,1,1,1,2,3,1,3,0,18,985
"1379","FURTO - OUTROS",52,69,62,67,73,61,76,86,68,55,46,58,773,985
"1380","FURTO DE VEÍCULO",11,18,17,14,8,12,17,12,8,5,14,8,144,985
"1381","HOMICÍDIO DOLOSO (2)",1,2,0,0,1,2,0,1,0,0,1,1,9,966
"1382","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,2,0,0,1,2,0,1,0,0,1,1,9,966
"1383","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,1,0,0,0,0,0,0,1,966
"1384","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,1,0,0,0,0,0,0,1,966
"1385","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,0,0,0,0,0,0,1,0,2,4,966
"1386","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,966
"1387","TENTATIVA DE HOMICÍDIO",1,0,0,0,0,2,0,0,0,1,0,0,4,966
"1388","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,966
"1389","LESÃO CORPORAL DOLOSA",31,24,22,22,22,26,16,22,20,36,26,22,289,966
"1390","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",11,11,4,10,18,11,11,5,9,9,9,10,118,966
"1391","LESÃO CORPORAL CULPOSA - OUTRAS",0,1,1,0,0,0,0,1,2,3,0,3,11,966
"1392","LATROCÍNIO",0,0,0,0,0,0,0,0,0,1,0,0,1,966
"1393","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,1,0,0,1,966
"1394","TOTAL DE ESTUPRO (4)",2,2,2,2,3,2,4,2,2,1,3,3,28,966
"1395","ESTUPRO",1,0,0,2,0,1,0,1,0,0,0,2,7,966
"1396","ESTUPRO DE VULNERÁVEL",1,2,2,0,3,1,4,1,2,1,3,1,21,966
"1397","TOTAL DE ROUBO - OUTROS (1)",102,110,107,112,122,108,91,101,104,103,97,84,1.241,966
"1398","ROUBO - OUTROS",101,108,103,110,122,106,90,99,104,102,97,82,1.224,966
"1399","ROUBO DE VEÍCULO",7,7,13,9,13,11,7,9,21,13,12,13,135,966
"1400","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,966
"1401","ROUBO DE CARGA",1,2,4,2,0,2,1,2,0,1,0,2,17,966
"1402","FURTO - OUTROS",99,100,93,104,109,99,146,198,128,124,113,106,1.419,966
"1403","FURTO DE VEÍCULO",23,33,35,35,30,22,33,35,24,38,36,31,375,966
"1404","HOMICÍDIO DOLOSO (2)",1,2,0,0,0,2,1,1,1,2,1,0,11,965
"1405","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,2,0,0,0,2,1,1,1,2,1,0,11,965
"1406","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,1,0,0,1,965
"1407","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,1,0,0,1,965
"1408","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,1,1,0,0,0,0,0,0,1,0,4,965
"1409","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,965
"1410","TENTATIVA DE HOMICÍDIO",1,1,0,2,0,0,0,2,0,2,1,2,11,965
"1411","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,965
"1412","LESÃO CORPORAL DOLOSA",23,22,28,25,21,37,31,34,41,33,31,37,363,965
"1413","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",8,7,12,16,11,8,5,10,9,13,9,11,119,965
"1414","LESÃO CORPORAL CULPOSA - OUTRAS",0,1,2,0,2,0,2,0,5,2,1,0,15,965
"1415","LATROCÍNIO",0,0,0,0,0,0,1,0,1,0,0,0,2,965
"1416","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,1,0,1,0,0,0,2,965
"1417","TOTAL DE ESTUPRO (4)",8,2,5,1,1,2,3,4,1,1,1,4,33,965
"1418","ESTUPRO",2,0,1,0,0,0,1,1,0,1,1,1,8,965
"1419","ESTUPRO DE VULNERÁVEL",6,2,4,1,1,2,2,3,1,0,0,3,25,965
"1420","TOTAL DE ROUBO - OUTROS (1)",127,154,135,140,148,146,114,157,145,143,125,108,1.642,965
"1421","ROUBO - OUTROS",125,150,134,138,148,145,111,153,140,136,121,104,1.605,965
"1422","ROUBO DE VEÍCULO",26,31,24,34,23,33,23,21,42,40,42,33,372,965
"1423","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,965
"1424","ROUBO DE CARGA",2,4,1,2,0,1,3,4,5,7,4,4,37,965
"1425","FURTO - OUTROS",103,116,101,114,119,131,161,138,119,109,85,94,1.39,965
"1426","FURTO DE VEÍCULO",25,42,40,48,59,35,47,53,45,40,33,30,497,965
"1427","HOMICÍDIO DOLOSO (2)",0,0,1,2,1,1,1,1,0,0,0,1,8,964
"1428","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,1,2,1,1,1,1,0,0,0,1,8,964
"1429","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,964
"1430","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,964
"1431","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,1,1,1,0,1,1,5,964
"1432","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,1,0,0,0,1,964
"1433","TENTATIVA DE HOMICÍDIO",1,0,1,0,0,1,0,1,0,0,0,0,4,964
"1434","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,1,0,0,0,0,0,0,0,0,0,1,964
"1435","LESÃO CORPORAL DOLOSA",40,42,57,41,32,35,48,45,42,45,37,62,526,964
"1436","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",20,14,13,8,4,19,12,8,7,4,7,10,126,964
"1437","LESÃO CORPORAL CULPOSA - OUTRAS",0,1,1,2,1,1,1,2,1,1,1,1,13,964
"1438","LATROCÍNIO",0,0,0,0,1,0,0,0,0,0,1,1,3,964
"1439","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,1,0,0,0,0,0,1,1,3,964
"1440","TOTAL DE ESTUPRO (4)",6,6,3,3,5,1,3,1,4,3,4,5,44,964
"1441","ESTUPRO",3,1,1,0,2,0,1,1,0,0,2,1,12,964
"1442","ESTUPRO DE VULNERÁVEL",3,5,2,3,3,1,2,0,4,3,2,4,32,964
"1443","TOTAL DE ROUBO - OUTROS (1)",122,148,166,155,209,144,141,160,149,158,145,127,1.824,964
"1444","ROUBO - OUTROS",120,147,165,153,206,144,136,154,146,157,144,124,1.796,964
"1445","ROUBO DE VEÍCULO",51,37,41,36,49,27,26,26,31,46,37,47,454,964
"1446","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,964
"1447","ROUBO DE CARGA",2,1,1,2,3,0,5,6,3,1,1,3,28,964
"1448","FURTO - OUTROS",117,131,119,123,124,154,174,179,151,143,155,164,1.734,964
"1449","FURTO DE VEÍCULO",44,37,39,49,42,40,33,44,48,40,54,46,516,964
"1450","HOMICÍDIO DOLOSO (2)",0,1,0,0,0,1,1,1,0,0,0,0,4,963
"1451","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,1,0,0,0,1,2,1,0,0,0,0,5,963
"1452","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1453","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1454","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1455","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1456","TENTATIVA DE HOMICÍDIO",1,0,0,0,0,1,1,0,1,0,0,1,5,963
"1457","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1458","LESÃO CORPORAL DOLOSA",18,24,15,18,19,26,18,14,20,25,20,36,253,963
"1459","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",13,6,13,12,10,10,5,5,12,11,7,8,112,963
"1460","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,1,0,0,0,0,0,0,1,963
"1461","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1462","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1463","TOTAL DE ESTUPRO (4)",3,4,2,1,1,0,0,1,1,4,1,1,19,963
"1464","ESTUPRO",2,1,0,1,1,0,0,1,0,0,0,0,6,963
"1465","ESTUPRO DE VULNERÁVEL",1,3,2,0,0,0,0,0,1,4,1,1,13,963
"1466","TOTAL DE ROUBO - OUTROS (1)",91,79,91,85,89,79,82,81,57,62,75,89,960,963
"1467","ROUBO - OUTROS",90,77,89,82,87,78,82,81,57,62,74,88,947,963
"1468","ROUBO DE VEÍCULO",18,16,21,20,28,41,25,24,15,17,22,28,275,963
"1469","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,963
"1470","ROUBO DE CARGA",1,2,2,3,2,1,0,0,0,0,1,1,13,963
"1471","FURTO - OUTROS",121,113,136,110,117,98,123,116,104,242,112,176,1.568,963
"1472","FURTO DE VEÍCULO",28,25,34,28,32,28,25,25,18,32,37,19,331,963
"1473","HOMICÍDIO DOLOSO (2)",0,1,0,1,0,0,0,1,1,0,2,0,6,962
"1474","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,1,0,1,0,0,0,1,1,0,3,0,7,962
"1475","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,962
"1476","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,962
"1477","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,1,1,0,0,0,2,0,1,3,8,962
"1478","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,962
"1479","TENTATIVA DE HOMICÍDIO",1,0,1,0,1,1,0,0,1,0,1,2,8,962
"1480","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,962
"1481","LESÃO CORPORAL DOLOSA",27,21,33,26,22,31,25,22,27,34,19,28,315,962
"1482","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",4,12,9,14,10,19,4,17,5,15,8,10,127,962
"1483","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,1,0,0,0,0,1,0,0,2,4,962
"1484","LATROCÍNIO",0,0,0,0,0,1,0,0,0,0,0,0,1,962
"1485","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,1,0,0,0,0,0,0,1,962
"1486","TOTAL DE ESTUPRO (4)",3,0,2,0,2,3,3,2,1,1,1,1,19,962
"1487","ESTUPRO",2,0,1,0,1,2,2,0,1,0,0,0,9,962
"1488","ESTUPRO DE VULNERÁVEL",1,0,1,0,1,1,1,2,0,1,1,1,10,962
"1489","TOTAL DE ROUBO - OUTROS (1)",145,139,97,132,147,157,103,101,123,114,132,96,1.486,962
"1490","ROUBO - OUTROS",134,130,88,128,139,151,101,101,121,113,130,96,1.432,962
"1491","ROUBO DE VEÍCULO",30,37,30,27,38,34,36,21,27,36,14,34,364,962
"1492","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,962
"1493","ROUBO DE CARGA",11,9,9,4,8,6,2,0,2,1,2,0,54,962
"1494","FURTO - OUTROS",116,118,115,143,140,150,145,97,140,142,135,132,1.573,962
"1495","FURTO DE VEÍCULO",31,37,22,42,34,48,29,44,39,34,45,35,440,962
"1496","HOMICÍDIO DOLOSO (2)",0,1,2,0,0,0,1,0,0,0,0,0,4,961
"1497","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,1,2,0,0,0,1,0,0,0,0,0,4,961
"1498","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,961
"1499","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,961
"1500","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,961
"1501","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,961
"1502","TENTATIVA DE HOMICÍDIO",1,1,0,0,0,2,0,0,0,0,1,1,6,961
"1503","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,961
"1504","LESÃO CORPORAL DOLOSA",14,15,22,14,14,8,16,13,16,18,24,19,193,961
"1505","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",7,3,6,4,4,15,6,3,4,4,5,3,64,961
"1506","LESÃO CORPORAL CULPOSA - OUTRAS",1,0,0,0,0,0,0,0,0,0,0,0,1,961
"1507","LATROCÍNIO",0,0,0,1,0,0,0,0,0,0,1,0,2,961
"1508","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,1,0,0,0,0,0,0,1,0,2,961
"1509","TOTAL DE ESTUPRO (4)",1,3,4,2,2,2,2,1,2,2,3,2,26,961
"1510","ESTUPRO",0,0,1,0,2,1,0,0,0,0,0,0,4,961
"1511","ESTUPRO DE VULNERÁVEL",1,3,3,2,0,1,2,1,2,2,3,2,22,961
"1512","TOTAL DE ROUBO - OUTROS (1)",74,29,101,107,118,86,74,97,79,114,79,100,1.058,961
"1513","ROUBO - OUTROS",72,26,99,102,117,83,74,96,78,112,77,100,1.036,961
"1514","ROUBO DE VEÍCULO",15,9,23,14,14,18,15,29,24,21,27,32,241,961
"1515","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,961
"1516","ROUBO DE CARGA",2,3,2,5,1,3,0,1,1,2,2,0,22,961
"1517","FURTO - OUTROS",51,57,45,44,39,52,59,57,47,46,44,46,587,961
"1518","FURTO DE VEÍCULO",11,10,12,13,8,15,15,14,15,15,29,8,165,961
"1519","HOMICÍDIO DOLOSO (2)",1,1,0,0,0,0,0,0,0,0,1,0,3,960
"1520","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,1,0,0,0,0,0,0,0,0,1,0,3,960
"1521","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,960
"1522","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,960
"1523","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,1,0,1,2,0,0,0,0,0,0,0,4,960
"1524","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,960
"1525","TENTATIVA DE HOMICÍDIO",3,2,1,0,0,1,1,1,0,0,0,2,11,960
"1526","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,960
"1527","LESÃO CORPORAL DOLOSA",30,23,34,22,14,23,19,22,24,37,28,35,311,960
"1528","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",7,7,8,5,9,9,13,8,3,11,11,11,102,960
"1529","LESÃO CORPORAL CULPOSA - OUTRAS",2,2,1,0,0,1,0,0,0,1,1,0,8,960
"1530","LATROCÍNIO",0,0,0,0,0,0,0,1,0,0,1,0,2,960
"1531","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,1,0,0,1,0,2,960
"1532","TOTAL DE ESTUPRO (4)",4,3,2,3,5,7,1,2,6,5,4,5,47,960
"1533","ESTUPRO",1,0,0,1,2,3,1,0,0,1,0,1,10,960
"1534","ESTUPRO DE VULNERÁVEL",3,3,2,2,3,4,0,2,6,4,4,4,37,960
"1535","TOTAL DE ROUBO - OUTROS (1)",135,114,121,170,181,149,133,161,133,149,127,142,1.715,960
"1536","ROUBO - OUTROS",135,112,119,167,180,146,130,159,133,146,126,141,1.694,960
"1537","ROUBO DE VEÍCULO",18,17,37,21,28,22,30,31,37,48,57,55,401,960
"1538","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,960
"1539","ROUBO DE CARGA",0,2,2,3,1,3,3,2,0,3,1,1,21,960
"1540","FURTO - OUTROS",118,119,114,98,90,72,84,84,80,90,79,83,1.111,960
"1541","FURTO DE VEÍCULO",20,11,21,22,18,10,10,14,16,30,17,19,208,960
"1542","HOMICÍDIO DOLOSO (2)",0,2,2,1,1,1,1,1,0,0,1,0,10,959
"1543","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,2,2,1,1,1,1,1,0,0,1,0,10,959
"1544","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,959
"1545","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,959
"1546","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,1,1,0,0,0,1,1,1,0,1,6,959
"1547","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,959
"1548","TENTATIVA DE HOMICÍDIO",3,2,0,3,1,0,1,1,0,2,2,3,18,959
"1549","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,959
"1550","LESÃO CORPORAL DOLOSA",49,33,44,35,29,42,28,30,33,26,23,31,403,959
"1551","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",7,11,15,12,7,4,12,9,6,11,9,7,110,959
"1552","LESÃO CORPORAL CULPOSA - OUTRAS",2,0,0,0,2,3,1,0,1,0,1,0,10,959
"1553","LATROCÍNIO",0,0,0,0,0,0,0,1,2,0,0,0,3,959
"1554","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,1,2,0,0,0,3,959
"1555","TOTAL DE ESTUPRO (4)",5,2,8,6,7,3,6,2,2,7,4,5,57,959
"1556","ESTUPRO",0,0,4,0,2,1,2,0,1,0,2,1,13,959
"1557","ESTUPRO DE VULNERÁVEL",5,2,4,6,5,2,4,2,1,7,2,4,44,959
"1558","TOTAL DE ROUBO - OUTROS (1)",162,140,159,176,164,165,143,137,119,152,177,125,1.819,959
"1559","ROUBO - OUTROS",160,137,148,169,160,163,141,135,117,149,172,118,1.769,959
"1560","ROUBO DE VEÍCULO",62,75,65,69,49,56,47,55,47,56,68,63,712,959
"1561","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,959
"1562","ROUBO DE CARGA",2,3,11,7,4,2,2,2,2,3,5,7,50,959
"1563","FURTO - OUTROS",127,105,124,110,129,133,135,152,117,123,106,99,1.46,959
"1564","FURTO DE VEÍCULO",84,59,83,76,74,56,72,75,64,84,85,91,903,959
"1565","HOMICÍDIO DOLOSO (2)",1,1,0,0,1,0,0,2,1,2,1,2,11,945
"1566","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,1,0,0,1,0,0,2,1,3,1,2,12,945
"1567","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,945
"1568","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,945
"1569","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,2,0,0,0,2,0,4,945
"1570","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,945
"1571","TENTATIVA DE HOMICÍDIO",0,1,2,1,0,1,0,2,2,1,0,3,13,945
"1572","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,945
"1573","LESÃO CORPORAL DOLOSA",25,29,20,20,15,22,20,17,21,26,29,23,267,945
"1574","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",10,14,11,24,8,7,13,10,11,13,12,12,145,945
"1575","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,1,0,1,2,4,0,2,10,945
"1576","LATROCÍNIO",0,0,0,0,0,0,0,0,0,1,0,0,1,945
"1577","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,1,0,0,1,945
"1578","TOTAL DE ESTUPRO (4)",7,2,0,4,1,1,2,4,1,2,5,3,32,945
"1579","ESTUPRO",3,0,0,1,1,0,0,1,0,0,1,1,8,945
"1580","ESTUPRO DE VULNERÁVEL",4,2,0,3,0,1,2,3,1,2,4,2,24,945
"1581","TOTAL DE ROUBO - OUTROS (1)",133,166,169,164,183,188,169,121,117,141,114,123,1.788,945
"1582","ROUBO - OUTROS",128,163,164,156,174,187,165,118,113,137,107,113,1.725,945
"1583","ROUBO DE VEÍCULO",72,48,63,59,57,57,38,36,43,61,66,52,652,945
"1584","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,945
